team,url,@context,articleSection,id,newspaper,keywords,articleBody,images,dateCreated,datePublished,commentCount,headline
atletico,http://as.com/videos/2017/01/19/portada/1484855779_341892.html?autoplay=1,http://schema.org,"
ATLÉTICO 3 - EIBAR 0
",99762017-01-21T18:51:04.392378,as,"SD Eibar,Antoine Griezmann,Yoel Rodríguez,Copa Rey Fútbol,Atlético Madrid,Fútbol,Equipos,Competiciones,Deportes",Athletic-Atlético en directoEl Atlético dejó casi sentenciada la eliminatoria contra el Eibar. Todo empezó en esta jugada en la que Yoel no estuvo nada acertado. El portero armero abandonó su portería con la intención de despejar una falta ejecutada por Koke. Giménez le ganó la acción y Griezmann marcó a puerta vacía. Un error de absoluta gravedad que allanó el camino para el conjunto rojiblanco. Es la segunda victoria del año sobre el Eibar.Fue una noche fría en el Calderón. El Atleti ganó con lo justo. Apuntaló su victoria con una manifestación de solvencia ausente de brillantez. Le bastó con dos jugadas a balón parado y un buen pase filtrado a la espalda de la defensa armera. Una faena que le deja casi en las semifinales de la Copa del Rey. Solo una debacle lo impediría.,,2017-01-21T18:51:04.392378,2017-01-19T21:02:59+01:00,0,Peor imposible: terrible la salida de Yoel en el gol de Griezmann
atletico,http://as.com/videos/2017/01/19/portada/1484855969_307799.html?autoplay=1,http://schema.org,"
ATLÉTICO 3 - EIBAR 0
",98292017-01-21T18:51:04.448647,as,"SD Eibar,Copa Rey Fútbol,Atlético Madrid,Fútbol,Equipos,Competiciones,Deportes",Athletic-Atlético en directoEl Atlético dejó sentenciada la eliminatoria de cuartos de final de Copa tras imponerse con contundencia al Eibar. El conjunto rojiblanco tuvo el dominio total del encuentro desde el comienzo. Un gol de Griezmann mediada la primer mitad allanó el camino. En la reanudación el guión fue parecido hasta que apareció Correa para marcar otro gol en la competición copera donde esta mostrando su mejor versión. El tercero y definitivo fue obra de Gameiro que dejó su sequía goleadora atrás tras estar muy atento a una serie de rechaces dentro del área.,,2017-01-21T18:51:04.448647,2017-01-19T21:02:59+01:00,0,Resumen y goles del Atlético-Eibar de Copa del Rey
barca,http://as.com/videos/2017/01/19/portada/1484863617_361448.html?autoplay=1,http://schema.org,"
BARCELONA 0 - REAL SOCIEDAD 1
",98612017-01-21T18:51:04.620191,as,"Resúmenes Liga Santander,Liga Santander,Resúmenes deportivos,Real Sociedad,La Liga,Primera división,FC Barcelona,Ligas fútbol,Fútbol,Equipos,Organizaciones deportivas,Competiciones,Deportes","El Barcelona encarriló el pase a semifinales de la Copa del Rey frente a la Real Sociedad con una sufrida victoria por la mínima gracias a un gol de penalti de Neymar. El brasileño fue el único que creó algo de peligro ya que sus compañeros de ataque, Messi y Suárez estuvieron desaparecidos.El próximo compromiso culé será frente al Eibar en Ipurúa mientras que la vuelta de estos cuartos de final se disputará el jueves en el Camp Nou.",,2017-01-21T18:51:04.620191,2017-01-19T23:16:22+01:00,0,El pelotazo de Yuri a Messi en la chepa que le dejó esta cara
atletico,http://futbol.as.com/futbol/2017/01/19/copa_del_rey/1484852241_264811.html,http://schema.org,COPA | ATLÉTICO - EIBAR,38042017-01-21T18:51:04.757625,as,"SD Eibar,Copa Rey Fútbol,Atlético Madrid,Fútbol,Equipos,Competiciones,Deportes","Athletic-Atlético en directoEl Atlético de Madrid - Eibar ha dejado varias polémicas arbitrales. El equipo colchonero se quejó de un penalti no pitado por mano dentro del área del Eibar. Los jugadores rojiblancos también mostraron su disconformidad por el gol anulado a Savic en el minuto 25 por fuera de juego. Mateu Lahoz acertó.  Tres minutos después en la jugada del gol, Antoine Griezmann está en posición legal al tener por delante a Yoel y a tres jugadores del Eibar. Gol legal.Los jugadores del Eibar se quejaron del tercer gol del Atlético de Madrid. Los de Mendilibar pedían fuera de juego por la posición de Griezmann en el momento de la asistencia de cabeza a Gameiro. Pero, el delantero estaba en posición correcta.",http://as01.epimg.net/futbol/imagenes/2017/01/19/copa_del_rey/1484852241_264811_1484852670_noticia_normal.jpg,2017-01-21T18:51:04.757625,2017-01-19T20:07:48+01:00,0,El Atlético se quejó del gol anulado y de un penalti no pitado
barca,http://as.com/videos/2017/01/19/portada/1484863078_624146.html?autoplay=1,http://schema.org,"
REAL SOCIEDAD 0 - BARCELONA 1
",12152017-01-21T18:51:04.827501,as,"Copa Rey Fútbol,Real Sociedad,FC Barcelona,Fútbol,Equipos,Competiciones,Deportes",,,2017-01-21T18:51:04.827501,2017-01-19T22:57:58+01:00,0,Anoeta también tuvo su Tamborrada: noche grande
barca,http://as.com/videos/2017/01/19/portada/1484863092_309097.html?autoplay=1,http://schema.org,"
REAL SOCIEDAD 0 - BARCELONA 1
",17792017-01-21T18:51:04.906912,as,"Real Sociedad,FC Barcelona,Equipos,Fútbol,Deportes",,,2017-01-21T18:51:04.906912,2017-01-19T23:28:43+01:00,0,Todas las polémicas del Real Sociedad - Barcelona
madrid,http://www.mundodeportivo.com/futbol/fichajes/20170121/413565224437/alexander-isak-calabazas-real-madrid-fichaje.html,http://schema.org,,4192017-01-21T18:51:04.964612,md,"Real Madrid,Borussia Dortmund,Zlatan Ibrahimovic,Karim Benzema","El fichaje de Alexander Isak por el Real Madrid ha dado un giro inesperado. A pesar de que el club blanco había llegado a un acuerdo con el AIK Solna -entorno a 10 millones de euros- para fichar al apodado ‘Ibrahimovic negro’, el futbolista habría rechazado la oferta merengue y se habría decantado por la del Borussia Dortmund, según apunta el diario sueco Aftonbladet. El jugador de 17 años vería con mejores ojos recalar en el club alemán al entender de que tendría mejores oportunidades para crecer y llegar a la élite del fútbol. La probable salida de Aubameyang en verano, además, le abriría una vía rápida para llegar al primer equipo del conjunto teutón, mientras que en el Real Madrid tendría siempre por delante a Morata, Benzema e incluso podría ver como el club repesca a Mayoral, cerrándole las puertas del primer equipo.Sigue el partido de hoy del Real Madrid contra el Málaga en directo MD. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/img_ozarate_20170114-214711_imagenes_md_otras_fuentes_isak-kOdD-U413565224437PSG-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:04.964612,2017-01-21T16:00:18+01:00,,Isak da ‘calabazas’ al Real Madrid
atletico,http://futbol.as.com/futbol/2017/01/19/copa_del_rey/1484857213_369716.html?autoplay=1,http://schema.org,ATLÉTICO 3- EIBAR 0,20852017-01-21T18:51:04.992191,as,"José Luis Mendilibar,SD Eibar,Copa Rey Fútbol,Atlético Madrid,Equipos,Fútbol,Competiciones,Deportes","Athletic-Atlético en directoJosé Luis Mendilibar quiso atender a los medios al término del encuentro de ida de cuartos de Copa del Rey ante el Atlético y valorar así la dolorosa derrota encajada por su equipo ante los hombres del Cholo Simeone.El partidoEl resultado es justo porque los tres goles fueron legales, los metieron bien, al final el Atlético te hace cometer errores y se aprovecha de ellos. En Liga pasó lo mismo. Parece que juegas bien, que compites y luego te ganan bien. El resultado es duro para el partido de vuelta.EliminatoriaNunca se puede decir que una eliminatoria está decidida, pero es muy complicado poder hacer tres para remontar la eliminatoria. Es complicado hacerle un gol como para hacerle tres. ¿Tercer gol del Atlético en fuera de juego? Ciertas cosas contra el Atlético no salen bien, ante este equipo nada sale bien: el juego, el resultado, no sé, parece que nada nos sale bien.EsperanzaSabíamos que era difícil antes de empezar, jugamos diez antes en casa en Liga y nos ganaron. Siempere te queda la esperanza de no cometer errores, pero no somos un equipo tan fiable para no cometerlos. Somos un equipo que podemos ir para arriba, pero también tenemos errores. Sabíamos que al Atlético  le cuesta marcar goles, pero nosotros los cometimos. ",,2017-01-21T18:51:04.992191,2017-01-19T21:27:45+01:00,0,"Mendilibar: ""Lo hacen tan bien que al final fallamos nosotros"""
atletico,http://futbol.as.com/futbol/2017/01/19/copa_del_rey/1484856204_991947.html?autoplay=1,http://schema.org,ATLÉTICO 3 - EIBAR 0,3282017-01-21T18:51:05.190081,as,"SD Eibar,Copa Rey Fútbol,Atlético Madrid,Fútbol,Equipos,Competiciones,Deportes","Athletic-Atlético en directoMoyá: poco exigido en el primer tiempo por un Eibar que rondó su área, aunque con poca pegada entre palos. Lo único, un disparo al palo corto de Bebé ante el que el meta rojiblanco reaccionó bien. Tras el descanso, otro disparo centrado de Bebé y algún balón comprometido por arriba, pero todo bien solventado. Está en forma.Juanfran: poca profundidad en el primer tiempo, aunque controlando bien en defensa a los hombres del Eibar. Apenas algún centro a ninguna parte y poco más. En el segundo tiempo Bebé buscó mucho su flanco, pero el de Crevillente siguió manejándose bien para frenarle. Su versión más seria como defensor, necesita participar más arriba para recuperar el sitio en el once. En el tramo final se plantó en la frontal, pero su disparo no fue bueno; se le vieron las ganas de marcar, de participar en el triunfo.Savic: en el 20’ marcó, pero el gol fue anulado por un fuera de juego de Griezmann, que prolongó el balón hacia el montenegrino. Bien asentado, él y Giménez frenaron las acometidas del Eibar, que chocaron con la frontal rojiblanca. La segunda parte fue mucho más plácida para ambos, con el Eibar deshecho tras los goles.Giménez: igual que Savic, bien para dominar los espacios y no ceder ocasiones al Eibar cuando el conjunto vasco intentó, sobre todo por el centro, crear peligro. Además dio la asistencia a Griezmann en el 1-0 con un buen cabezazo dirigido y también participó, con otro testarazo, en la jugada del 3-0. Su presencia en ataque, decisiva. Y salvó el posible 3-1 con un corte providencial. Acabó el partido de mediocentro con la entrada de Godín al campo.Filipe: más profundo que Juanfran, le falta tino en los centros, pero apareció con facilidad en línea de fondo. Bebé buscó ese costado y dio guerra con su zancada, aunque sin llegar a dañar. Participó combinando por la izquierda con Carrasco en la jugada que acabaría en el 2-0 de Correa.Gaitán: muy presionado cada vez que cogía el balón, acabó por los suelos varias veces. Le falta chispa para regatear, aquello que sí hacía en el Benfica con asiduidad. Permutó mucho su posición con Carrasco, empezó en la izquierda y se pasó a la derecha antes del descanso. Eso sí, muy participativo y sin esconderse, se sigue acercando a la versión deseada por el Cholo. Dejó el sitio a Godín en el 76’.Koke: de sus botas nació el gol anulado a Savic y el 1-0 de Griezmann, ambos tras saques de falta directa. Bien en la distribución, algo más adelantado que Saúl y con posibilidad de conectar con los hombres de arriba. En el segundo tiempo, a favor de obra, se vio su versión más afinada para ser el director del equipo, con Gabi escoltándole.Saúl: el 5 del equipo, primero en la construcción desde la defensa y enlace con Koke. La entrada de Gabi le liberó en labores defensivas y le sirvió para mostrarse más en la presión alta. Pulcro, sin más.Carrasco: poco del belga en el primer tiempo; empezó de delantero, aunque se fue moviendo por derecha, izquierda, mediapunta… Lo intentó, pero sin suerte. Le falta el punto físico que le hace imparable. Aunque, en su mejor acción del partido, se internó por la izquierda y se plantó solo ante Yoel. Se le hizo de noche y sus remates no encontraron puerta, pero el rechazo final lo aprovechó Correa para hacer el 2-0. Poco después dejó el sitio a Gabi.Griezmann: dijo Simeone en la previa que había “vuelto al gol” y acertó el argentino con el pronóstico: otro tanto en 2017 y ya van cuatro en cinco partidos. Cabeceó con picardía la asistencia de Giménez. Además, se volvió a ver su versión más participativa y polivalente, como un mediapunta flotante que aparece tanto para asistir como para rematar, para dar salida al balón o para desbordar por los costados. Asistió a Gameiro de cabeza en el 3-0.Correa: muy activo, muy participativo, con intención… Pero poco concreto. Le sigue faltando poner su repertorio al servicio del bien del equipo. Con todo, marcó el 2-0 aprovechando un balón suelto tras un jugadón de Carrasco. Tiene un idilio con el gol, sobre todo en Copa, donde ya lleva cuatro; son siete en total esta temporada, y otras siete asistencias. Se marchó en el 62 dando entrada a Gameiro.Gameiro: entró en el 62’ en lugar de Correa. Su primer balón tocado fue un cabezazo a la red, sin oposición tras una jugada rocambolesca en el área pequeña, después de un córner. Minutos de calidad para él, pues llevaba sin marcar desde el 27 de noviembre; mucho tiempo para el que se supone que debe ser el hombre-gol del equipo. Necesita mantener una regularidad en ello.Gabi: entró en el 66’ en lugar de Carrasco y se colocó como 5, liberando a Saúl. Serio, afianzó el medio rojiblanco y el resultado.Godín: entró en el 76’ en lugar de Gaitán. Simeone pensó en él para terminar de atar el partido cuando ya marchaba 3-0. Su entrada hizo que Giménez pasase al puesto de mediocentro junto a Gabi.",,2017-01-21T18:51:05.190081,2017-01-19T21:11:17+01:00,0,"1x1 del Atlético: Griezmann al mando y Correa, marcando"
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413573492992/danilo-pitos-bernabeu-malaga.html,http://schema.org,,82512017-01-21T18:51:05.278224,md,"Danilo,Real Madrid,Celta de Vigo,Zinédine Zidane","La a afición del Real Madrid no ha olvidado la actuación de Danilo ante el Celta y a pesar de que Zidane le ha querido proteger dejándolo en el banquillo, el jugador ha recibido pitos por parte de la grada. Fue cuando por megafonía sonaron las alineaciones. El ‘speaker’ dijo el número 23, el de Danilo, y la afición no sólo no gritó su nombre, si no que pitaron al lateral brasileño. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/632008642_20170119014434-kzXE-U413573492992vGE-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.278224,2017-01-21T16:27:30+01:00,,Pitos a Danilo antes de empezar el partido
