id,@context,team,newspaper,keywords,headline,videos,articleBody,images,url,dateCreated,datePublished
64362017-01-23T16:26:56.795558,http://schema.org,atletico,md,"Gregorio Manzano,RCD Espanyol,Thibaut Courtois",Simeone cierra su peor primera vuelta con el Atleti,,"El Atlético de Madrid cierra su peor primera vuelta de la era Simeone. En la temporada actual han terminado con 35 puntos. Unos números que no eran tan bajos desde que fuese Gregorio Manzano el que dirigiese al equipo durante los primeros partidos de la 2011-12. Aquella campaña llegó al ecuador del campeonato con 26 puntos y cuatro de ellos correspondieron a la nueva era del Cholo, los dos últimos partidos. Desde que el técnico argentino se convirtiese en el dueño del banquillo colchonero los puntos de los rojiblancos han estado por encima de los 40 en la primera vuelta. A excepción de la campaña actual. Su mejor inicio llegó en la 2013-14 con 50 puntos y acabaron segundos empatados con el Barcelona. Tanto en la 2015-16 como en la 2012-13 terminó con 44 puntos, mientras que en la 2014-15 llegó a los 41. Puntos que le han permitido estar siempre entre los tres primeros, a excepción de la campaña actual que ha terminado cuarto. De hecho la campaña pasada fue campeón de invierno y en la 2013-14 llegaron a la mitad del campeonato igualado con el Barcelona en la primera posición. Esta es la campaña en la que menos partidos ha ganado el Atlético de Madrid a su llegada al ecuador del campeonato. 10 victorias nada más, mientras que hasta ese momento su peor cifra había sido en la 2014-15 en la que había ganado 13 y su mejor temporada había ganado en 16 ocasiones en la campaña que acabó conquistando el título de Liga. En 14 oportunidades había logrado los tres puntos en la 2015-16 y en la 2012-13.  Esta es la campaña en la que más ocasiones ha perdido, cuatro veces. En las mismas ocasiones cayó en la 2014-15 aunque en aquella temporada logró seis puntos más porque tenían mejor promedio de victorias. La campaña en la que ganaron la Liga sólo perdieron un partido que fue ante el Espanyol por 1-0 con un autogol de Courtois. En las otras dos temporadas perdió en tres ocasiones. Durante la presente primera vuelta también ha cosechado su peor balance de goles. 34 goles a favor y 16 en contra, 18 en total. Su mejor balance llegó en la campaña en la que ganó la Liga en la que alcanzó justo el doble: 36. 47 tantos a favor y 11 en contra. Unos números que le acabaron llevando al título de Liga. Ese año fue su mejor primera vuelta en el aspecto goleador, mientras que en el aspecto defensivo su mejor año fue en la 2015-16 que llevaban ocho tantos. Tanto el Cholo Simeone como los jugadores han reconocido en varias ocasiones que este inicio de campeonato ha sido demasiado irregular. Han llegado a ir primeros, pero su peor posición que llegó justo antes de las navidades fue sexto. Por eso durante el parón de navidades hicieron examen de conciencia y ahora están buscando volver a los orígenes en los que eran un equipo más sólido atrás y que aprovechaba las ocasiones que tenía adelante. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/23/Recortada/20170119-636204537929774487_20170119201905-k0XG-U413601810070WoB-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/atletico-madrid/20170123/413601810070/simeone-manzano-primera-vuelta-atleti.html,2017-01-23T16:26:56.795558,2017-01-23T09:39:16+01:00
60092017-01-23T16:26:56.919612,http://schema.org,atletico,md,Athletic Club de Bilbao,Saúl: “Nos conformamos con el 0-1 y debimos haber ido a por más goles”,,"
    Saúl Ñíguez, que disputó los 90 minutos frente al Athletic en San Mamés, reflejó el sentir del vestuario rojiblanco tras el empate logrado en Bilbao, en un choque en el que el Atlético se adelantó en el marcador en el minuto 2 de partido. Para el ilicitano, el error del conjunto colchonero fue no ir a sentenciar el encuentro tras ese 0-1.“Hemos empezado muy bien, hemos hecho los primeros 20 minutos más o menos muy intensos y muy completos, hemos conseguido ponernos por delante en el marcador pero pienso que el fallo que hemos tenido es que cuando ellos estaban mas tocados por el gol nos hemos venido atrás y nos hemos conformado con el 0-1 y teníamos que haber ido a por más goles porque ellos estaban tocados y al final ellos han sabido sobreponerse y han conseguido remontar el partido y hemos sido nosotros los que hemos tenido que ir remando. Al final un punto para cada uno, con sabor agridulce pero después de cómo ha ido el partido tampoco está tan mal”, analizó.El centrocampista colchonero admitió que deben hacer mejor las cosas, pero tampoco se mostró muy negativo: “Tan mal no estamos, seguimos ahí después de una primera vuelta irregular y ahora lo que queda en esta segunda vuelta es mejorar”. “Nosotros tenemos que mirar a nuestro equipo pero sí que es verdad que los equipos se nos están yendo más lejos pero intentaremos ir para arriba en esta segunda vuelta”, comentó el canterano del Atlético de Madrid.
",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/22/Recortada/20170122-636207078096972274_20170122185256-kOoD-U413603135653LBG-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/atletico-madrid/20170122/413603135653/saul-dice-atletico-conformo-con-0-1-y-debieron-ir-por-mas-goles.html,2017-01-23T16:26:56.919612,2017-01-22T19:43:01+01:00
38432017-01-23T16:26:56.940182,http://schema.org,barca,md,"Copa del Rey,Real Sociedad,Camp Nou,Real Betis",El plan del Barça para esta semana,,"El Barça afrontará esta semana dos nuevos retos, un partido de Copa del Rey y el otro de Liga. Los azulgrana regresarán hoy a la Ciutat Esportiva de Sant Joan Despí para iniciar la preparación para el partido de vuelta de los cuartos de final de la Copa ante la Real Sociedad que se disputará en el Camp Nou, el martes descansarán y volverán a entrenarse el miércoles a las 11.00 horas en la Ciudad Deportiva por última vez antes del encuentro copero.Con vistas al fin de semana, los azulgranas se entrenarán el viernes a las 11.00 horas y el sábado a las 16.30 horas. Por la tarde, los jugadores de Luis Enrique viajarán a Sevilla para enfrentarse al Betis, el domingo a las 12.00 horas.
    Lunes 23
12.00 h: Entrenamiento en la Ciudad Deportiva Joan Gamper.
    Martes 24
Día de descanso.
    Miércoles 25
11.00 h: Entrenamiento en la Ciudad Deportiva Joan Gamper.
    Jueves 26
21.15 h: Partido de Copa del Rey. Vuelta de cuartos de final. FC Barcelona - Real Sociedad (Camp Nou).
    Viernes 27
11.00 h: Entrenamiento en la Ciudad Deportiva Joan Gamper.
    Sábado 28
16.30 h: Entrenamiento en la Ciudad Deportiva Joan Gamper.18.15 h: Viaje hacia Sevilla.
    Domingo 29
12.00 h: Partido de Liga. Jornada 20: Betis - FC Barcelona (Estadio Benito Villamarin).",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_mcorbera_20170117-175957_imagenes_md_terceros_fcb_2017-01-17_entreno_20-knIC-U413624591273eJ-980x554@MundoDeportivo-Web.JPG,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413624591273/barca-plan-semana-entrenamiento-partidos.html,2017-01-23T16:26:56.940182,2017-01-23T12:05:05+01:00
8952017-01-23T16:26:57.063932,http://schema.org,barca,md,"Andrés Iniesta,Ruth Beitia,Garbiñe Muguruza","Iniesta, Premio Nacional del Deporte",,"
    
        Andrés 
Iniesta 

ha sido galardonado este mediodía con uno de los Premios Nacionales del Deporte. El futbolista azulgrana ha recibido el Premio Reina Sofía, en el que se galardona a la persona que más ha destacado durante el año por un gesto especialmente relevante de nobleza o juego limpio en la práctica deportiva, o que haya prestado una contribución especial a la erradicación de la violencia en el deporte. La Reina Sofía ha sido la encargada de entregar el premio al capitán azulgrana.  Otros premiados en esta edición han sido el patinador Javier 
Hernández, la atleta Ruth 
Beitia, la tenista Garbiñe 
Muguruza, el entrenador del Sevilla Jorge 
Sampaoli y la selección masculina de baloncesto.El capitán azulgrana ha viajado acompañado de Albert 
Soler, director de deportes profesionales del FC Barcelona, del directivo Carles 
Vilarrubí y de su agente Ramon 
Sostres. Sus Majestades los Reyes 
de 
España han presidido la ceremonia de entrega de los Premios Nacionales del Deporte.. En este acto estarán acompañados por el Ministro de Educación, Cultura y Deporte, Íñigo 
Méndez de Vigo, y por el Presidente del Consejo Superior de Deportes, José Ramón Lete. En esta tradicional cita de la Familia Real se galardona a las personas y entidades que más se han distinguido en la competición o en la promoción del deporte a lo largo del año. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_jagsirvent_20170123-140644_imagenes_md_propias_jagsirvent_a2-kLn-U413625154753qYH-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413625154753/iniesta-premio-nacional-del-deporte.html,2017-01-23T16:26:57.063932,2017-01-23T14:19:40+01:00
3812017-01-23T16:26:57.096770,http://schema.org,barca,md,"Gerard Piqué,Real Zaragoza,Sergio Busquets,Luis Enrique",Piqué ya hizo de Busi en el Zaragoza,,"
    Luis Enrique pasó revista , tras el partido de Eibar,a las muchas posibilidades que le ofrece su amplia plantilla para sustituir al lesionado Sergio Busquets. Habló de Sergio Roberto (su opción preferida) en primer lugar, luego destacó el trabajo de Iván Rakitic en esa posición en Ipurúa, mencionó a André Gomes y citó a Javier Mascherano, aunque al argentino ya le tiene más como central. En todo caso, se olvidó de otra posibilidad que es Gerard Piqué. El defensa barcelonista ya ocupó esa posición en numerosos partidos en el Real Zaragoza, cuando jugó cedido por el Manchester United en la temporada 2006.Fue Víctor Fernández, entonces entrenador zaragocista y hoy responsable de la cantera madridista, quien le colocó en esa posición porque necesitaba un jugador que ayudara al centro de la defensa y, de paso, tuviera facilidad para salir con el balón controlado. Según recuerda Víctor Fernández “cumplió a la perfección lo que le pedía, porque ayudaba en defensa y sacaba el balón bien gracias a su técnica y empuje. Se complementaba muy bien con Gaby Milito, el jefe de la defensa por aquellos días”.Lo más destacable es que Gerard Piqué tenía entonces sólo 19 años y no le asustó tomar responsabilidades, como siempre ha hecho. Luego volvió al Manchester United y sir Alex Ferguson le devolvió a su actual posición de central, aunque le permitía ir al ataque, sobre todo y casi exclusivamente, en jugadas de estrategia. Así marcó con los ingleses en la Champions League frente al Dinamo de Kiev y la Roma.
    Diez años en Primera
El central azulgrana Gerard Piqué cumplió el 24 de setiembre de 2016, como informó Jordi Batalla en MD, su décimo aniversario de su debut en Liga, una efeméride que pone en relieve su gran trayectoria en el fútbol español.Curiosamente, su debut en el Real Zaragoza fue en el eje de la defensa junto a Gaby Milito para el duelo ante el Villarreal y completó todo el partido a un buen nivel. Además, Piqué anotó su primer tanto como profesional en España en el descuento, algo que no sirvió para evitar la derrota por 3-2 en El Madrigal. Durante esa temporada, Gerard acabó consolidándose como un hombre importante en los esquemas del Real Zaragoza, aunque no como central sino como mediocentro, ya que su depurada salida de balón le permitía hacer de nexo entre la defensa y el ataque.
    Luis Enrique podría colocar a Gerard Piqué de medio centro en el campo del Betis con Javier Mascherano y Samuel Umtiti de centrales, aunque no parece que sea su idea, ya que prefiere a ‘’ atrás, con un futbolista de un corte más de centrocampista para hacer de . Lucho ha utilizado tambien la fórmula de tres centrales con los dos laterales más adelantados.En todo caso, parece seguro que la apuesta de Luis Enrique para sustituir al lesionado Gerard Piqué será más un hombre como Sergi Roberto, Iván Rakitic o André Gomes que dar oportunidad a Gerard Piqué de que se lo pase en grande jugando por delante d ela defensa. Hoy por hoy, ‘’ es demasiado importante como central en este Barça que vuelve a estar ‘on fire’.",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/MUNDODEPORTIVO_G_1829590561-ktME-U413624249868D0D-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413624249868/pique-ya-hizo-de-busi-en-el-zaragoza.html,2017-01-23T16:26:57.096770,2017-01-23T13:27:58+01:00
45272017-01-23T16:26:57.116148,http://schema.org,barca,md,,LaLiga: Eibar- FC Barcelona en imágenes,,LaLiga: Eibar- FC Barcelona en imágenes,http://www.mundodeportivo.com/r/GODO/MD/p4/ContraPortada/Imagenes/2017/01/22/Recortada/img_ggomez_20170123-121133_imagenes_md_otras_fuentes_toyoj311pv46-koIB--980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/laliga/20170122/413605784875/laliga-eibar--fc-barcelona-en-imagenes.html,2017-01-23T16:26:57.116148,2017-01-23T12:30:00.000+01:00
92402017-01-23T16:26:57.141264,http://schema.org,barca,md,"Eibar CF,Sergio Busquets,Fútbol Club Barcelona",El error de Sánchez Martínez en el acta del Eibar-Barça,,"El partido entre el Eibar y el Barça no tuvo mucha historia en cuanto al resultado se refiere, ya que los azulgrana demostraron su superioridad y se impusieron por un claro 0-4 en Ipurúa, pero si dejó una anécdota curiosa en el acta del encuentro.El colegiado murciano José María Sánchez Martínez, que no señaló como infracción un terrible pisotón de Escalante sobre Busquets que provocó la lesión del centrocampista de Badia, puso en el acta que los jugadores del Eibar tenían intención de disputar el partido contra los culés con unas letras de tipografía china, algo que el reglamento impide si el árbitro no puede identificar a los futbolistas, pero se da la circunstancia que las letras eran japonesas y no chinas, tal y como se encargó de publicitar el club armero.👋🇯🇵 Hello Japan! #EibarBarça #Ipurua1947 pic.twitter.com/c6HdlMwH2Q
    El motivo de la iniciativa del Eibar es que cuentan con un jugador japonés, el centrocampista Takashi Inui, y desde el club vasco querían aprovechar el tirón mediático del Barça en el país asiático, potenciado con el acuerdo con Rakuten, para darse a conocer al público del lejano oriente.",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_ppunti_20170122-234012_imagenes_md_propias_ppunti_170122fcb604-kygD-U413624458114xBB-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413624458114/el-error-de-sanchez-martinez-en-el-acta-del-eibar-barca.html,2017-01-23T16:26:57.141264,2017-01-23T15:09:00+01:00
13282017-01-23T16:26:57.188535,http://schema.org,barca,md,"Real Madrid,Fútbol Club Barcelona,Copa del Rey,Florentino Pérez",Protestas en TVE por el trato de favor al Madrid,,"Dos redactores de deportes de TVE en Catalunya han elevado una queja formal al Consejo de Informativos de Radio Televisión Española, en la que denuncian un trato de favor no justificado por parte de la dirección de deportes de informativos hacia el Real Madrid y el Atlético de Madrid con respecto al Fútbol Club Barcelona, según ha desvelado Voz Populi.En la queja, firmada por dos redactores, señalan la gestión del actual director de deportes de informativos en Madrid, Julián Reyes, al que acusan de querer acercarse a Florentino Pérez y Enrique Cerezo con este trato de favor a sus clubs. Y ponen, entre otros ejemplos, el trato comparativo entre Cristiano Ronaldo y Messi y Neymar en las denuncias fiscales, las polémicas arbitrales o las aperturas de los informativos de deportes. Desde la redacción en Catalunya advierten que la relación con Julián Reyes es inexistente y que tampoco mantiene una buena relación con los equipos de deportes. Según denuncian en la queja, las informaciones de Real Madrid y Atlético siempre tienen un sesgo positivo, mientras que las del Barcelona tratan de desacreditarle. En Madrid se justifican asegurando que es un tema de audiencias y que el club blanco arrastran más espectadores que el azulgrana.Julián Reyes fue relevado en 2009 tras no emitir la pitada al himno español en la final de la Copa del Rey entre Barça y Athletic y recuperó el cargo en noviembre de 2015. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_pmorata_20161205-134421_imagenes_md_propias_pmorata_crismessi-kK6G-U413625390721a3B-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413625390721/rebelion-en-tve-por-el-trato-de-favor-al-madrid.html,2017-01-23T16:26:57.188535,2017-01-23T13:32:00+01:00
92372017-01-23T16:26:57.211214,http://schema.org,barca,md,"Neymar,Eibar CF,Fútbol Club Barcelona",Neymar y Suárez felicitan a Denis por su estreno goleador,,"Denis Suárez logró ante el Eibar su primera diana como azulgrana en el minuto 31 del encuentro. Su gol, que fue el encargado de estrenar el marcador en el Ipurúa, dio paso a las dianas de los componentes del tridente, Messi, Neymar y Luis Suárez. El jugador compartió en las redes sociales de que se trataba de “una victoria perfecta y un gol que nunca olvidaré”.Esta mañana, tanto el brasileño como el uruguayo ha recurrido a las redes sociales para felicitar al centrocampista gallego por su estreno. El dorsal número ‘9’ azulgrana ha publicado en Twitter una instantánea de ambos en el vestuario junto al siguiente comentario: “FELICITACIONES tocayo @DenisSuarez6 por el primer gol esperemos que vengan más. Me alegro mucho te lo mereces. Suárez&Suárez!”.Por otro lado, Neymar recurrió a Instagram Stories para colgar un video de Denis en el que escribió “Primer gol”, seguido de emoticonos con aplausos.FELICITACIONES tocayo @DenisSuarez6 por el primer gol esperemos que vengan más 😳😳me alegro mucho te lo mereces 💪💪💪 Suárez&Suárez! pic.twitter.com/IbqX70fV3Q",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_lbaquero_20170123-124408_imagenes_md_otras_fuentes_suarez-kc8H-U413625382731sfC-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413625382731/neymar-jr-luis-suarez-denis-felicitan-gol.html,2017-01-23T16:26:57.211214,2017-01-23T15:17:03+01:00
67252017-01-23T16:26:57.267657,http://schema.org,barca,md,"Luis Enrique,Eibar CF,Copa del Rey,Real Sociedad",Luis Enrique tira del juvenil para preparar la vuelta ante la Real,https://www.youtube.com/embed/30fi_XXLdXE,"El Barça volvió a la rutina de entrenamientos después de la contundente victoria ante el Eibar (0-4) y se ejercitó en el Camp Tito Vilanova de la Ciutat Esportiva Joan Gamper para empezar a preparar la vuelta de cuartos de final de la Copa del Rey ante la Real Sociedad.
    Luis Enrique, que se mostró encantando con el rendimiento de sus futbolistas en tierras vascas, requirió la presencia en la sesión de los jugadores del Juvenil A Jordi Mboula, Oriol Rey, Jordi Tur y Alasana 
Mammeh, que completaron el entrenamiento con el resto de jugadores de la primera plantilla azulgrana.Quienes no participaron en el entrenamiento fueron Sergio Busquets, lesionado ayer en Ipurúa y estará alrededor de 15 días de baja, Andrés Iniesta y Rafinha, que siguen con sus respectivos procesos de recuperación para volver cuanto antes a la dinámica del equipo.",http://www.mundodeportivo.com/r/GODO/MD/p4/Barca/Imagenes/2017/01/23/Recortada/img_jbatalla_20170123-124322_imagenes_md_otras_fuentes_juvenil-kdNI-U413626303985aD-980x554@MundoDeportivo-Web.jpg,http://www.mundodeportivo.com/futbol/fc-barcelona/20170123/413626303985/luis-enrique-tira-del-juvenil-para-preparar-la-vuelta-ante-la-real.html,2017-01-23T16:26:57.267657,2017-01-23T14:19:41+01:00
